Pos,Viscosity (Pas),Density (g/cm3)
0,137.288,0.8966
1,0.0850966,0.8598
2,14.5017,0.8829
3,0.00605517,0.8627
4,Not used,Not used
5,0.743579,0.8698
6,338.215,0.8966
7,1001.97,0.8966
8,0.861947,0.840728571
9,Not used,Not used
10,12.0219,0.9656
11,46.5455,0.892228571
12,228.368,0.8941
13,689.446,0.8941
14,0.639546,0.837757143
15,Not used,Not used
16,10.9235,0.9612
17,32.0029,0.889557143
18,94.1713,0.8941
19,0.00512452,0.8593
20,9.9491,0.8801
21,0.0648105,0.8567
22,0.547125,0.8668
23,Not used,Not used
24,64.4026,0.8915
25,0.00430403,0.8559
26,6.92907,0.8774
27,0.0500763,0.8536
28,0.407029,0.8639
29,Not used,Not used
30,0.483285,0.834785714
31,Not used,Not used
32,9.95535,0.9568
33,158.986,0.8915
34,482.725,0.8915
35,22.2958,0.886885714
36,0.370917,0.831814286
37,Not used,Not used
38,9.10756,0.9524
39,111.335,0.8889
40,343.525,0.8889
41,15.7554,0.884214286
42,45.468,0.8889
43,0.00372262,0.8525
44,Not used,Not used
45,0.308243,0.860966667
46,0.0395912,0.8505
47,4.90734,0.874666667
48,33.9649,0.8863
49,0.00318822,0.8491
50,Not used,Not used
51,0.233079,0.858033333
52,0.031601,0.8474
53,3.53993,0.871933333
54,13.2975,0.9702
55,0.0072798,0.8661
56,Not used,Not used
57,68.9426,0.8949
58,0.114388,0.8629
59,1.03792,0.8727
60,Not used,Not used
61,21.5095,0.8856
62,508.038,0.8993
63,203.816,0.8993
64,1484.02,0.8993
65,1.18658,0.8437
66,0.289244,0.828842857
67,8.34822,0.948
68,246.486,0.8863
69,Not used,Not used
70,11.3519,0.881542857
71,79.4185,0.8863
72,5.00732,0.8817
73,6.86848,0.8819
74,3.47987,0.8789
75,4.91074,0.8791
76,2.46774,0.8761
77,3.51389,0.8762
78,1.77632,0.8732
79,2.57204,0.8735
80,1.31008,0.870366667
81,1.90322,0.8707
82,0.985068,0.867533333
83,1.43012,0.8679
84,9.44115,1.4191
85,0.812007,1.2597
86,7.17888,1.390533333
87,74.7274,1.390533333
88,5.93773,1.4159
89,0.526971,1.2575
90,4.6,1.386466667
91,41.4928,1.386466667
92,3.97708,1.4125
93,0.357082,1.2544
94,3.08633,1.3824
95,24.8268,1.3824
96,2.73475,1.4091
97,0.246475,1.2516
98,2.12861,1.378333333
99,15.9137,1.378333333
100,1.99892,1.405766667
101,0.176184,1.2489
102,1.48155,1.374266667
103,10.7951,1.374266667
104,0.127027,1.2462
105,1.41208,1.402433333
106,1.05885,1.3702
107,7.7764,1.3702
